Level,# of Buttons,Min_Tap,Min_Drag,Min_Flick,Min_Rotation,Min_ColourSwap,Min_Random,EndLength,Rand_Tap,Rand_Drag,Rand_Flick,Rand_Rotation,Rand_ColourSwap,StartLength,Replay Cost,Win Artifact,Notes,Slow Build,Level id
int,int,int,int,int,int,int,int,int,bool,bool,bool,bool,bool,,int,int,string,bool,
1,4,3,0,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,Intoduces the player to the basic mechanic of repeating the pattern,,4B3T0D0F0R0C0X3S
2,3,5,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,Introduces the player to the possibility of 3 buttons,,3B5T0D0F0R0C0X3S
3,5,5,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,Introduces the player to the possibility of 5 buttons,,5B5T0D0F0R0C0X3S
4,4,5,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,1,Introduces the player to the possibility of a sequence playing without build up,,4B5T0D0F0R0C0X5S
5,4,0,0,3,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,Introduces the player to the flicking mechanic,,4B0T0D3F0R0C0X3S
6,5,2,0,3,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,Introduces the player to mechanic combos,,5B2T0D3F0R0C0X3S
7,5,0,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,Introduces the player to the dragging mechanic,,5B0T4D0F0R0C0X3S
8,5,0,3,3,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,,,5B0T3D3F0R0C0X3S
9,4,2,2,2,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,Introduction to Memory Levels and Replays,,4B2T2D2F0R0C0X3S
10,5,2,2,2,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,,,5B2T2D2F0R0C0X3S
11,3,2,2,2,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,2,,,3B2T2D2F0R0C0X6S
12,4,2,2,2,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,2,,,4B2T2D2F0R0C0X6S
13,5,2,2,2,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,2,,,5B2T2D2F0R0C0X6S
14,4,2,2,2,0,0,2,8,TRUE,TRUE,TRUE,FALSE,FALSE,3,1,2,,,4B2T2D2F0R0C2X3S
15,5,2,2,2,0,0,2,8,TRUE,TRUE,TRUE,FALSE,FALSE,3,1,2,,,5B2T2D2F0R0C2X3S
16,4,0,4,4,0,0,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,,,4B0T4D4F0R0C0X3S
17,5,0,4,4,0,0,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,,,5B0T4D4F0R0C0X3S
18,4,0,4,4,0,0,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,2,,,4B0T4D4F0R0C0X8S
19,4,3,3,3,0,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,,,4B3T3D3F0R0C0X3S
20,5,3,3,3,0,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,,,5B3T3D3F0R0C0X4S
21,5,0,4,4,0,0,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,2,,,5B0T4D4F0R0C0X8S
22,4,0,3,3,0,0,3,9,TRUE,TRUE,TRUE,FALSE,FALSE,4,1,2,,,4B0T3D3F0R0C3X4S
23,5,0,3,3,0,0,3,9,TRUE,TRUE,TRUE,FALSE,FALSE,4,1,2,,,5B0T3D3F0R0C3X4S
24,3,2,2,2,0,0,2,8,TRUE,TRUE,TRUE,FALSE,FALSE,8,1,2,,,3B2T2D2F0R0C2X8S
25,4,2,2,2,0,0,2,8,TRUE,TRUE,TRUE,FALSE,FALSE,8,1,2,,,4B2T2D2F0R0C2X8S
26,5,2,2,2,0,0,2,8,TRUE,TRUE,TRUE,FALSE,FALSE,8,1,2,,,5B2T2D2F0R0C2X8S
27,4,2,4,4,0,0,0,10,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,,,4B2T4D4F0R0C0X4S
28,5,0,5,5,0,0,0,10,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,,,5B0T5D5F0R0C0X4S
29,5,2,4,4,0,0,2,12,TRUE,TRUE,TRUE,FALSE,FALSE,4,1,2,,,5B2T4D4F0R0C2X4S
30,4,0,0,0,3,0,2,5,TRUE,TRUE,TRUE,FALSE,FALSE,4,1,2,Introduces the player to the rotation mechanic. Note that this level is designed so that at least one of the first 3 moves is a rotate.,,4B0T0D0F3R0C2X4S
